layer,representation,population,seed,size,background_share,unknown_objects,known_knn,unknown_knn,unknown_tail_knn,open_pool_unknown_knn,auc_object_vs_background,auc_unknown_vs_background,auc_unknown_vs_known,novelty_background,novelty_known,novelty_unknown,novelty_unknown_tail,novelty_sign_correct,sim_same_object,sim_same_class_other_object,sim_different_class,unknown_nmi,unknown_ari
5,raw,P0_raw,0,80000,0.8141125,1268,0.826880211343185,0.14035532994923858,0.27008547008547007,0.04561276287164612,0.7069710539610975,0.7353202503343845,0.7536954048935403,0.3934937119483948,0.09626862406730652,0.14246806502342224,0.14280825853347778,False,98.20633697509766,83.04916381835938,80.31729125976562,0.2830083673294229,0.023543041003987516
5,raw,P1_admissible,0,24000,0.6516666666666666,772,0.7950273651290071,0.15185750636132317,0.29358638743455495,0.059185750636132316,0.7108512172811708,0.7007109349998568,0.7799668313804978,0.3980061113834381,0.10824386030435562,0.1377900242805481,0.13627228140830994,False,96.93914794921875,86.61624145507812,83.16337585449219,0.3014709174895912,0.0272041447914133
5,raw,P2_admissible_nms,0,15518,0.7670447222580229,738,0.7653216596878569,0.16012145748987855,0.24147727272727273,0.06629554655870445,0.7599474353084261,0.728305016379348,0.7573234213915541,0.48743194341659546,0.11680404096841812,0.1900511533021927,0.20209398865699768,False,95.72088623046875,84.71998596191406,80.21659088134766,0.38920848182978124,0.03841512349052884
5,unit,P0_raw,0,80000,0.8141125,1268,0.82779658218443,0.14024655547498188,0.2706196581196581,0.045322697606961566,0.7774498319948839,0.8430265146061979,0.7724672476352582,0.3933952748775482,0.09611739963293076,0.14222994446754456,0.14255975186824799,False,0.9335445165634155,0.8379109501838684,0.7932277321815491,0.2804095875999662,0.020956182142091367
5,unit,P1_admissible,0,24000,0.6516666666666666,772,0.7958874120406567,0.15145038167938932,0.293848167539267,0.05893129770992366,0.7209421997944174,0.7555648713552385,0.8054342522062047,0.3978153169155121,0.10801755636930466,0.13740955293178558,0.1358860284090042,False,0.9423900842666626,0.8743191957473755,0.8242645263671875,0.2969566076020264,0.02421319683623738
5,unit,P2_admissible_nms,0,15518,0.7670447222580229,738,0.7664636467453368,0.15921052631578947,0.2434659090909091,0.06649797570850202,0.7632753352409245,0.7716082574224021,0.7877960179690533,0.48739761114120483,0.11672165989875793,0.1899699866771698,0.20202606916427612,False,0.905256986618042,0.8447747826576233,0.7678518891334534,0.3907755877861718,0.04227816385272138
5,whitened32,P0_raw,0,80000,0.8141125,1268,0.9022537769338727,0.16921682378535172,0.3111111111111111,0.0532994923857868,0.9111894502466908,0.8747658473425215,0.929969256290524,0.7924181222915649,0.6126804351806641,0.7067949175834656,0.6909177899360657,False,0.6389672756195068,0.14145316183567047,0.06590115278959274,0.3346393333007739,0.036258055552848466
5,whitened32,P1_admissible,0,24000,0.6516666666666666,772,0.8747302580140734,0.17501272264631043,0.32356020942408376,0.06529262086513996,0.863051891237044,0.8141626967917512,0.8939785929278026,0.774020791053772,0.6116864681243896,0.6754382252693176,0.6465150713920593,False,0.6732860803604126,0.21429666876792908,0.11572274565696716,0.36732299766256804,0.03830346793822966
5,whitened32,P2_admissible_nms,0,15518,0.7670447222580229,738,0.8401218119527979,0.17722672064777328,0.2784090909090909,0.07135627530364372,0.8564354623120658,0.7999991837534282,0.8980629040109934,0.8152152299880981,0.6341726779937744,0.7530243396759033,0.7425100207328796,False,0.4882354438304901,0.24551498889923096,0.10585100203752518,0.40608658821724586,0.04031353346571638
