eps,clusters,noise_share_background,noise_share_known,noise_share_unknown_object,unknown_purity_before,unknown_purity_after_gate
0.15,52,0.6022048549801163,0.9962024271443903,0.9202320522117476,0.034475,0.008405287690074119
0.25,132,0.38274808457062137,0.6350202262032527,0.780638143582306,0.034475,0.013376965087226656
0.35,65,0.08171475072548327,0.19607033765376042,0.27012327773749095,0.034475,0.028131026579837334
0.45,2,0.0050361590075081765,0.016923965986956162,0.006526468455402465,0.034475,0.0344875328827298
