seed,definition,seconds,reference_set_size,mean,sd,labelled_growth_drift,labelled_growth_rank_shift,unknown_rate_top_decile,unknown_rate_bottom_decile,discrimination_ratio
0,nearest_labelled,0.0053,100,0.05522388964891434,0.1287488043308258,0.03613795340061188,0.3401148184488628,0.03525,0.0055,6.409090909090909
0,nearest_known_prototype,0.0114,19,0.3397248089313507,0.362029492855072,0.0,2.220446049250313e-16,0.002875,0.03575,0.08041958041958043
0,nearest_known_cluster,0.0043,1600,0.2786724269390106,0.3881095051765442,0.0,0.0,0.00475,0.02475,0.1919191919191919
1,nearest_labelled,0.0053,100,0.05522388964891434,0.1287488043308258,0.03635672107338905,0.3639051018671584,0.03525,0.0055,6.409090909090909
1,nearest_known_prototype,0.0119,19,0.3397248089313507,0.362029492855072,0.0,2.220446049250313e-16,0.002875,0.03575,0.08041958041958043
1,nearest_known_cluster,0.0041,1600,0.2789645791053772,0.3880934715270996,0.0,2.220446049250313e-16,0.00475,0.0235,0.20212765957446807
2,nearest_labelled,0.0056,100,0.05522388964891434,0.1287488043308258,0.03629739210009575,0.35071670714505854,0.03525,0.0055,6.409090909090909
2,nearest_known_prototype,0.0113,19,0.3397248089313507,0.362029492855072,0.0,2.220446049250313e-16,0.002875,0.03575,0.08041958041958043
2,nearest_known_cluster,0.0042,1600,0.2776116132736206,0.38658276200294495,0.0,2.220446049250313e-16,0.005125,0.020375,0.25153374233128833
