population,size,background,known,unknown_proposals,unknown_objects,tail_objects,background_share,unknown_object_share,unknown_to_known_ratio,proposals_per_unknown_object,unk_knn_class_agreement,unk_same_object_neighbour_share,open_knn_class_agreement,open_same_object_neighbour_share,clusters,unk_nmi_in_full_partition,unk_ari_in_full_partition,known_contamination,unknown_recall_in_candidate_clusters
raw_proposals,80000,65129,12113,2758,1268,354,0.8141125,0.01585,0.22768925947329316,2.175078864353312,0.16921682378535172,0.04740220961481039,0.0532994923857868,0.032269760696156634,120,0.28158558737306877,0.056127875119862135,0.11912820936184265,0.4521392313270486
objectness_top30,24000,15421,7044,1535,595,169,0.6425416666666667,0.024791666666666667,0.217915956842703,2.5798319327731094,0.1654071661237785,0.06370952289710673,0.058957654723127036,0.04723127035830619,120,0.320346059601742,0.043424681208955186,0.30167518455423054,0.711400651465798
+nms_iou0.6,16924,11944,4320,660,529,156,0.7057433230914677,0.03125738596076578,0.1527777777777778,1.2476370510396975,0.1574242424242424,0.00784313725490196,0.046515151515151516,0.004723707664884135,120,0.38596796335933403,0.03426865788541125,0.27314814814814814,0.8196969696969697
+known_reject0.5,8462,6803,1148,511,420,131,0.8039470574332309,0.04963365634601749,0.4451219512195122,1.2166666666666666,0.14050880626223092,0.00754000230229078,0.04892367906066536,0.004834810636583401,120,0.45396989811441174,0.05333122934927423,0.19337979094076654,0.7338551859099804
[oracle] perfect_dedup,19699,15421,3683,595,595,169,0.7828316158180618,0.030204578912635158,0.16155308172685312,1.0,0.15092436974789916,0.0,0.036470588235294116,0.0,120,0.421824036433799,0.03928893161220817,0.32364919902253597,0.9193277310924369
[oracle] perfect_dedup+known_reject,9849,8736,686,427,427,121,0.8869936034115139,0.0433546552949538,0.6224489795918368,1.0,0.13466042154566746,0.0,0.041217798594847775,0.0,120,0.484692779983814,0.0580867152989392,0.19970845481049562,0.7962529274004684
