representation,dim,eta2_query_index,eta2_oracle_kind,eta2_known_class,eta2_unknown_class,auc_object_vs_background,auc_unknown_vs_background,auc_unknown_vs_known,known_knn_class_agreement,known_same_object_neighbour_share,unknown_knn_class_agreement,unknown_same_object_neighbour_share,unknown_tail_knn_class_agreement,unknown_tail_same_object_neighbour_share,unknown_openpool_knn_class_agreement,unknown_openpool_same_object_neighbour_share,sim_same_object,sim_same_class_other_object,sim_different_class,unknown_nmi,unknown_ari,unknown_cluster_purity
unit_embedding,256,0.17702639348749535,0.04693661769226863,0.07007454408015937,0.10140215240427698,0.7774498319948839,0.8430265146061979,0.7724672476352582,0.82779658218443,0.01106977918716401,0.14024655547498188,0.027086976922748796,0.2706196581196581,0.04656862745098039,0.045322697606961566,0.016721409375933114,0.9335445165634155,0.8379109501838684,0.7932277321815491,0.2804095875999662,0.020956182142091367,0.2722987672226251
embedding_no_pc1,256,0.1790034539478339,0.018857012469012675,0.07331188849712456,0.11847844272645709,0.8224017837210091,0.8323669557187293,0.811801392931042,0.8325270370676133,0.011390290451192447,0.1409354604786077,0.028483982425457494,0.2668803418803419,0.04920814479638009,0.045286439448876,0.01749989335835857,0.5871342420578003,0.22924946248531342,0.14800642430782318,0.28173851078241247,0.021556892926991818,0.27483683828861494
embedding_whitened32,32,0.1339882722767644,0.018678005067820275,0.12311436941246667,0.11788101100331642,0.9111894502466908,0.8747658473425215,0.929969256290524,0.9022537769338727,0.01745572331136698,0.16921682378535172,0.04740220961481039,0.3111111111111111,0.07664027149321267,0.0532994923857868,0.032269760696156634,0.6389672756195068,0.14145316183567047,0.06590115278959274,0.3346393333007739,0.036258055552848466,0.3328498912255257
posterior_hellinger,20,0.05093090677516293,0.12839768104682098,0.25658150172142813,0.14409574774339462,0.7617826838564358,0.6554255075501922,0.7382602465363193,0.9418145793775283,0.014219045167807072,0.11432197244379985,0.03948939982084204,0.2469017094017094,0.07494343891402715,0.015844815083393762,0.019792688649063687,0.9768140316009521,0.9454631805419922,0.9372049570083618,0.28920268767765245,0.021327427554948902,0.29332849891225526
