arm,batch_size,budget,epochs,eval_minutes,head,images,images_kept,images_selected,medium,previous19,revealed_unknown_objects,t2_objects,tail,tail_classes,train_minutes,u_recall
—,,0,,,0.0,,,,0.0,73.649,,,0.0,,,14.8107468739439
random,1,600,1,32.2,0.008116875,591,232,591,0.08912666666666667,27.2736,5,690,0.0,0,2.6,37.09023318688746
objectness_prior,1,600,1,,0.382361375,585,255,585,0.039302666666666666,59.1857,84,535,0.9090909,4,,22.017573504562353
mult_prior_shrunk,1,600,1,,0.0008955,519,189,519,0.019091666666666667,46.6404,53,417,0.0010284,2,,27.205136870564377
