arm,batch_size,budget,epochs,head,images,images_kept,images_selected,medium,previous19,revealed_unknown_objects,t2_objects,tail,tail_classes,u_recall
—,,0,,0.0,,,,0.0,73.649,,,0.0,,14.8107468739439
objectness_prior,1,600,1,0.382361375,585,255,585,0.039302666666666666,59.1857,84,535,0.9090909,4,22.017573504562353
objectness_prior,1,3500,1,0.22530375,3152,1495,3152,0.028886666666666668,7.3339,466,3269,0.058650999999999995,11,41.60189253126056
objectness_prior,1,20000,1,4.053326625,11656,5793,11656,0.5318900000000001,1.6878,1800,15978,0.4259596,15,36.04258195336262
mult_prior_shrunk,1,600,1,0.0008955,519,189,519,0.019091666666666667,46.6404,53,417,0.0010284,2,27.205136870564377
mult_prior_shrunk,1,3500,1,0.059531375,2961,1375,2961,0.008703333333333334,19.4099,372,3266,0.20202019999999998,12,31.015545792497466
mult_prior_shrunk,1,20000,1,2.032051625,9626,4594,9626,0.0,3.7529,1815,11566,0.43849879999999997,15,32.03785062521122
